CookerStat, GenerateAssetRegistry=76.266441, Initialize=180.192230, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BA22F47F4B6E136D493F19816BF755B4__1_0_13123_0, StartTime=2018.05.26-16.47.11, HierarchicalDDC=, DataSize=347, Duration=2.698328, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_30E3189D4FA3856B8881D2AF0E6AAA86__1_0_13123_0, StartTime=2018.05.26-16.47.11, HierarchicalDDC=, DataSize=347, Duration=27.704247, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_663FE1834A3F7E09833DC48252B7BEE6__1_0_13123_0, StartTime=2018.05.26-16.47.11, HierarchicalDDC=, DataSize=347, Duration=1.955967, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_79F9FE6C44F9225143599EB927BC73B1__1_0_13123_0, StartTime=2018.05.26-16.47.11, HierarchicalDDC=, DataSize=458, Duration=3.013488, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E54CF0824FBC4F7B3B093E93D9BBA114__1_0_13123_0, StartTime=2018.05.26-16.47.11, HierarchicalDDC=, DataSize=347, Duration=34.915752, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8E0449554517D89B153EBEBFB0B1FFE4__1_0_13123_0, StartTime=2018.05.26-16.47.11, HierarchicalDDC=, DataSize=347, Duration=2.192017, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A49CC25946B2CC9D73C54FA4C333FD24__1_0_13123_0, StartTime=2018.05.26-16.47.11, HierarchicalDDC=, DataSize=347, Duration=36.082321, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_641864A34D6B12B35CA74AA61043C2D5__1_0_13123_0, StartTime=2018.05.26-16.47.11, HierarchicalDDC=, DataSize=347, Duration=3.204640, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_24, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A3740B174589AD025AB2A1805B258AE7__1_0_13123_0, StartTime=2018.05.26-16.47.11, HierarchicalDDC=, DataSize=347, Duration=3.236711, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_25, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B05109414A21789F515E0086132CC79C__1_0_13123_0, StartTime=2018.05.26-16.47.11, HierarchicalDDC=, DataSize=347, Duration=2.874080, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_26, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_80EB8E8C4DB46DA065F168946D3C2075__1_0_13123_0, StartTime=2018.05.26-16.47.14, HierarchicalDDC=, DataSize=458, Duration=26.132294, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_27, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BDD7110C4798C9FB054D34AB3EA14AE9__1_0_13123_0, StartTime=2018.05.26-16.47.14, HierarchicalDDC=, DataSize=347, Duration=35.626041, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_28, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_051AA5D74468522FE6E1FA9DCB318528__1_0_13123_0, StartTime=2018.05.26-16.47.14, HierarchicalDDC=, DataSize=347, Duration=24.449579, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_29, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_344262464E3FC0ECB3E0A0B3AEE36C42__1_0_13123_0, StartTime=2018.05.26-16.47.14, HierarchicalDDC=, DataSize=347, Duration=20.535509, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_30, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A12641BC465F60212D8A6F98259DC402__1_0_13123_0, StartTime=2018.05.26-16.47.14, HierarchicalDDC=, DataSize=347, Duration=3.155887, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_31, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_51908B4A49D1C91EBE1B349A2E13BBF9__1_0_13123_0, StartTime=2018.05.26-16.47.14, HierarchicalDDC=, DataSize=347, Duration=2.509318, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_32, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E2E873654B7181EB8F53878AC0C7B664__1_0_13123_0, StartTime=2018.05.26-16.47.14, HierarchicalDDC=, DataSize=347, Duration=5.049422, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_33, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C594713D49DFD469C46102925592A5A5__1_0_13123_0, StartTime=2018.05.26-16.47.15, HierarchicalDDC=, DataSize=458, Duration=2.981845, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_34, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F82EC6B14C4E792E6BD12D9F47CF5D8B__1_0_13123_0, StartTime=2018.05.26-16.47.15, HierarchicalDDC=, DataSize=347, Duration=2.459284, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_35, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3AF1AA7F4D134754D11DB59E52EA34CE__1_0_13123_0, StartTime=2018.05.26-16.47.15, HierarchicalDDC=, DataSize=347, Duration=12.063787, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_36, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1D9D8E504BC5FD4EAB3562936FE6AE64__1_0_13123_0, StartTime=2018.05.26-16.47.16, HierarchicalDDC=, DataSize=347, Duration=28.045065, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_37, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A91C4E9946F5D6484C050B90B08FF548__1_0_13123_0, StartTime=2018.05.26-16.47.16, HierarchicalDDC=, DataSize=347, Duration=2.929244, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_38, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BE7E1C8744BD0563A11DE8A3BD3C2B25__1_0_13123_0, StartTime=2018.05.26-16.47.16, HierarchicalDDC=, DataSize=409, Duration=17.601986, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_39, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0EDA0C9D417BD8C7D83D0DB31E6F623A__1_0_13123_0, StartTime=2018.05.26-16.47.17, HierarchicalDDC=, DataSize=458, Duration=18.228035, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_40, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1AFA925A46E741B795F6998DACBAC3ED__1_0_13123_0, StartTime=2018.05.26-16.47.17, HierarchicalDDC=, DataSize=347, Duration=2.259154, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_41, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_98803F894DA132A345FBA99506BCF1D4__1_0_13123_0, StartTime=2018.05.26-16.47.17, HierarchicalDDC=, DataSize=347, Duration=2.437476, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_42, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_509C96D74529D0ACC92066B0739C3379__1_0_13123_0, StartTime=2018.05.26-16.47.17, HierarchicalDDC=, DataSize=347, Duration=37.091949, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_43, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6802C86D4D9EAB95D5B68D8B0E8EF73E__1_0_13123_0, StartTime=2018.05.26-16.47.17, HierarchicalDDC=, DataSize=347, Duration=16.048845, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_44, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AAEE158647604EF84216F58E7C989A1D__1_0_13123_0, StartTime=2018.05.26-16.47.17, HierarchicalDDC=, DataSize=409, Duration=2.482802, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_45, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_93AD0D5D42C92695363A9F973717B757__1_0_13123_0, StartTime=2018.05.26-16.47.19, HierarchicalDDC=, DataSize=458, Duration=3.356446, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_46, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E5C70CE049A82AE505B9D8B409F57248__1_0_13123_0, StartTime=2018.05.26-16.47.19, HierarchicalDDC=, DataSize=347, Duration=2.271980, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_47, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_E4AF091B4F9A3385D50A1C997F2E77A2__1_0_13123_0, StartTime=2018.05.26-16.47.19, HierarchicalDDC=, DataSize=347, Duration=2.088528, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_48, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7E70658245AA17404B5E74922D9145E2__1_0_13123_0, StartTime=2018.05.26-16.47.19, HierarchicalDDC=, DataSize=347, Duration=2.147969, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_49, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_28FA867346734A46582443825C668557__1_0_13123_0, StartTime=2018.05.26-16.47.19, HierarchicalDDC=, DataSize=347, Duration=15.758917, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_50, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_10B666A549C1962B8B708880DCCEE1C4__1_0_13123_0, StartTime=2018.05.26-16.47.19, HierarchicalDDC=, DataSize=409, Duration=5.193103, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_51, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ACAD621B441614DE27F70C8D7FAAD706__1_0_13123_0, StartTime=2018.05.26-16.47.20, HierarchicalDDC=, DataSize=458, Duration=11.976127, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_52, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4CBE358A4EE57EE07CC29BA6BF60F397__1_0_13123_0, StartTime=2018.05.26-16.47.20, HierarchicalDDC=, DataSize=347, Duration=12.476448, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_53, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_09B289D0465282E56E28FEB93E1D1E56__1_0_13123_0, StartTime=2018.05.26-16.47.20, HierarchicalDDC=, DataSize=347, Duration=42.279064, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_54, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7447D9624154BE51784E38918CD3F03F__1_0_13123_0, StartTime=2018.05.26-16.47.20, HierarchicalDDC=, DataSize=347, Duration=7.731497, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_55, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A74ABCCF408CF0CE2C57B0994D2A4EC9__1_0_13123_0, StartTime=2018.05.26-16.47.20, HierarchicalDDC=, DataSize=347, Duration=2.365206, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_56, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8AD05C704D615FBC151CCBA387244DF7__1_0_13123_0, StartTime=2018.05.26-16.47.20, HierarchicalDDC=, DataSize=409, Duration=3.729761, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_57, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_601C296844779E116F790F9E545DBA41__1_0_13123_0, StartTime=2018.05.26-16.47.24, HierarchicalDDC=, DataSize=458, Duration=1.998302, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_58, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F7BB6E7C48BBD86C09FC8FA69464AA99__1_0_13123_0, StartTime=2018.05.26-16.47.24, HierarchicalDDC=, DataSize=347, Duration=2.156950, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_59, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A814BD6A4C1CB8D353B34BA20F240E81__1_0_13123_0, StartTime=2018.05.26-16.47.24, HierarchicalDDC=, DataSize=347, Duration=14.181827, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_60, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_130F23814BFD8268777E5EAA72527BF6__1_0_13123_0, StartTime=2018.05.26-16.47.24, HierarchicalDDC=, DataSize=347, Duration=2.124451, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_61, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9EBE798F47A5C933D1FA94B6645544D7__1_0_13123_0, StartTime=2018.05.26-16.47.24, HierarchicalDDC=, DataSize=347, Duration=2.239056, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
DDCTransactionId54533A6F41F177227AFAFCA61174D7DB_62, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9F039BC34AC282530C6CEF9F2AFE01EB__1_0_13123_0, StartTime=2018.05.26-16.47.24, HierarchicalDDC=, DataSize=409, Duration=17.456167, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
SavePackageTransactionIdE76135614E5B6DD6354DC3908C3A19C0_0, Filename=../../../../sergey/UnrealProjects/Game_1337/TopDownProject/Content/TopDownBP/Maps/LowPolyMap.umap, AutoPackageBackupDelegate=262.482635, FlushAsyncLoading=0.016250, FlushStreamingFunc=0.048749, BlockTillAllRequestsFinished=0.006843, ResetLoadersForSaveUnMarkAllObjects=67.292686, TagPackageExports=1.783635, BeginCacheForCookedPlatformData=0.003848, SerializeImports=312.323029, GatherLocalizableTextData=33.969841, MarkNames=0.100918, SerializeSummary=31.440001, SerializeNames=0.633743, SerializeGatherableTextData=0.028651, BuildExportMap=76.509758, SortExportsNonSeekfree=56.364246, SortExportsSeekfreeConstructor=40.049419, SortExportsSeekfreeInner=88.027466, SortExportsSeekfree=0.010692, BuildDependencyMap=0.124440, SerializeImportMap=0.062007, SerializeExportMap=0.045754, SerializeDependencyMap=0.011545, SerializeStringAssetReferenceMap=0.004277, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.205482, SerializeExports=49.878422, SerializeBulkData=121.154457, MoveFile=1.172129, UnaccountedTime=117.606430, RunGuid=RunIDCC7E60F4435A0E8096152B930EA73776
