CookerStat, GenerateAssetRegistry=0.053879, Initialize=0.236906, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ECB03A1A4BABED30DF377BA23809B4B5__1_0_13123_0, StartTime=2018.05.26-16.21.22, HierarchicalDDC=, DataSize=347, Duration=2.830882, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2267BFEA4200D5C5634521B8CB63595C__1_0_13123_0, StartTime=2018.05.26-16.21.22, HierarchicalDDC=, DataSize=347, Duration=3.777213, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ED4595E2494D89100C007EA6A0C8E2A4__1_0_13123_0, StartTime=2018.05.26-16.21.22, HierarchicalDDC=, DataSize=409, Duration=2.661537, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A1D2FCBB4740399045DFF2954C740F6D__1_0_13123_0, StartTime=2018.05.26-16.21.23, HierarchicalDDC=, DataSize=458, Duration=4.365627, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FA4321014E98C74FA362BDB717733AF7__1_0_13123_0, StartTime=2018.05.26-16.21.23, HierarchicalDDC=, DataSize=347, Duration=2.700884, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_512F8F1041CED71B9BFF5D878F7A0C44__1_0_13123_0, StartTime=2018.05.26-16.21.23, HierarchicalDDC=, DataSize=347, Duration=2.768874, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_38E911F747453CB24B5364B0CE4FBD0B__1_0_13123_0, StartTime=2018.05.26-16.21.23, HierarchicalDDC=, DataSize=347, Duration=2.104346, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D6C63B3A411D5683C756C39A187D8382__1_0_13123_0, StartTime=2018.05.26-16.21.23, HierarchicalDDC=, DataSize=347, Duration=2.545226, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BA8352EC42290EBC67BFD68CBBD0531F__1_0_13123_0, StartTime=2018.05.26-16.21.23, HierarchicalDDC=, DataSize=347, Duration=2.455853, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
DDCTransactionIdC6095B70418F2B43719D5D9913DB0AE2_24, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2DC7648E4D558C46A9B75FB925B4F069__1_0_13123_0, StartTime=2018.05.26-16.21.23, HierarchicalDDC=, DataSize=347, Duration=3.278177, RunGuid=RunIDDFACC97240ABC6ECA4E7239CC79E3AE3
